Date,Close,Dif,Volume,Empresa,Symbol,target,moment,Action,coef_3,coef_7,coef_10,coef_15,coef_20,coef_30
2004-09-13,0.0018921909150874622,0.020308353595679767,-0.35840639263823976,Apple,AAPL,0,hold,0,0.023393807010487464,0.05777665468857284,0.06606229420872063,0.07393333994083211,0.0866048712358213,0.12190944015914733
2004-09-14,0.0018837694034144867,0.00932635471096256,-0.42831813712916705,Apple,AAPL,0,hold,0,0.03070471281286925,0.059470481089301704,0.07083658323447961,0.07910962727666573,0.08794795505490928,0.12092956151721788
2004-09-15,0.0018593463241448837,0.01766601109267927,-0.48535481710567946,Apple,AAPL,0,hold,0,0.027780478260280773,0.06480070385062596,0.07562665515127275,0.08392713291953005,0.08988265950151415,0.12036442571728691
2004-09-16,0.001956188244385728,-0.008979214851348265,0.20785134398398555,Apple,AAPL,0,hold,0,0.03086742582474164,0.06825377260574093,0.07673401131961859,0.08800220335476541,0.09163657880629135,0.11983158083503961
2004-09-17,0.002022714577051793,0.0024116694391258394,0.20886058756294307,Apple,AAPL,0,hold,0,0.007473549404033621,0.0598377939815773,0.07449596896105896,0.08750413284568709,0.09380988992355316,0.11901446499100676
2004-09-20,0.0020707153060246786,-0.0024711173105459476,-0.45360689766475926,Apple,AAPL,0,hold,0,0.013321890740846377,0.05206905438931709,0.07200667878790758,0.0867117382437214,0.09569170310995771,0.11896432442474965
2004-09-21,0.0020959765295294397,0.00912255619081645,-0.08890952152576016,Apple,AAPL,0,hold,0,0.016895763541463757,0.04304843750997101,0.06714591273602098,0.086132145396804,0.09737794494349114,0.1185564105398229
2004-09-22,0.0020041906291156956,0.03841006132209107,-0.050197821390033245,Apple,AAPL,0,hold,0,0.02128256255962137,0.03849502124249888,0.060557622641297305,0.08525431445046497,0.09847750318948784,0.11750729563400523
2004-09-23,0.0020336634363354858,0.0097330055511543,-0.06122741193149734,Apple,AAPL,0,hold,0,0.043862746152603556,0.04579958633581061,0.061248580379627826,0.08446320350208175,0.10017599874899642,0.11770742227480234
2004-09-24,0.002035348003591214,0.01766478964129851,-0.13309997251868494,Apple,AAPL,0,hold,0,0.020470083531355987,0.0564924703981046,0.061130673444489435,0.08374695012493205,0.09998285274875622,0.11835840462205303
2004-09-27,0.0020555585056915384,0.002613233747302465,-0.06093905662322377,Apple,AAPL,0,hold,0,0.025830860790190927,0.06285857093060049,0.06314870952800034,0.08426730938708993,0.10046989325424543,0.11899111648466378
2004-09-28,0.0020985042082915734,0.002614389794205138,-0.17507008763790322,Apple,AAPL,0,hold,0,0.022256924105391505,0.0639915436792336,0.06614049841835824,0.08387439976891319,0.10133571778356944,0.11979335234404347
2004-09-29,0.0021523964521153846,-0.0008434972924125298,-0.3802060539437217,Apple,AAPL,0,hold,0,0.01787095558160143,0.05890953408889046,0.07027108573816881,0.08191246497761139,0.10160137092076216,0.12052166868662716
2004-09-30,0.0021582909473290596,0.019496343786179173,0.009852171557937942,Apple,AAPL,0,hold,0,0.01575920005727834,0.048821258580042035,0.07010633347784981,0.08058263190620536,0.09991025032922948,0.12061941118426008
2004-10-01,0.0021515573144259776,0.023562438827293537,0.11384751348680137,Apple,AAPL,0,hold,0,0.02501870118283619,0.04803367459885163,0.06844954989046668,0.07958128547640103,0.09873443289262944,0.12162690484327293
2004-10-04,0.0021616630622032645,0.022342624165400584,0.3936530868700611,Apple,AAPL,0,hold,0,0.02745486058398975,0.048983035453952245,0.06607013778986494,0.08002540687798693,0.0985560755217723,0.12296624165202127
2004-10-05,0.0022105045846226396,-0.0020645376157871747,-0.03867802682450408,Apple,AAPL,0,hold,0,0.02420628603875296,0.052155062132757696,0.06288981885382956,0.0812711379019391,0.09801613384089114,0.12439013676681092
2004-10-06,0.0023174472853695234,-0.008775346491654176,0.06466851566074382,Apple,AAPL,0,hold,0,0.01673356160304847,0.053622281254444265,0.0627797925561245,0.08296504076096185,0.09648117171510073,0.1252420782366081
2004-10-07,0.0022315555490180377,0.0331229988242495,0.01277897793691469,Apple,AAPL,0,hold,0,0.005524954080857769,0.04835692284309385,0.059230470183538914,0.08131854316671412,0.09471132498489483,0.1249527106217033
2004-10-08,0.0021843982627029745,0.024580695720110478,-0.15951331875654406,Apple,AAPL,0,hold,0,0.04272567159496114,0.04937129655685264,0.06145272038699197,0.08098478031614617,0.09446900398668162,0.1245664410951634
2004-10-11,0.0021448183831002314,0.01868195743788735,-0.25054708957851046,Apple,AAPL,0,hold,0,0.03525320269598527,0.054906715888122334,0.06632128987570995,0.08113589590193364,0.0956521891362401,0.12492167369022783
2004-10-12,0.0021195568284440537,0.018681958504224216,0.10042457388666663,Apple,AAPL,0,hold,0,0.03379140484060162,0.06425084832734121,0.0718652843416734,0.08185345877110319,0.09790544402608614,0.12590322815701965
2004-10-13,0.00224249877872765,-0.003487056059707362,1.9098973865995665,Apple,AAPL,0,hold,0,0.03102918057388198,0.07413428368708587,0.07627067492370043,0.08538444199012366,0.10122875753185881,0.1270173579324189
2004-10-14,0.002682917247765515,-0.021995414313182447,6.043211210923762,Apple,AAPL,0,hold,0,0.0024384537056717434,0.07068158832523308,0.0755092083317214,0.08609149843377881,0.10190160534470394,0.12655125805143416
