Date,Close,Mean,Dif,Volume,Empresa,Symbol,target,moment,Action
2009-01-07,8.020188331604004,8.170375188191732,0.15716075897216797,180453860,Google,GOOG,1,sell,1
2009-01-08,8.099390983581543,8.146630922953287,-0.1721038818359384,144567852,Google,GOOG,0,hold,0
2009-01-09,7.847335815429687,7.988971710205078,0.3095903396606454,174270770,Google,GOOG,0,hold,0
2009-01-12,7.788057804107666,7.911594867706299,0.09016227722167969,132667413,Google,GOOG,0,hold,0
2009-01-13,7.828656196594238,7.82134993871053,-0.06351232528686523,177964564,Google,GOOG,0,hold,0
2009-01-14,7.496152877807617,7.704288959503174,0.22490692138671875,219535801,Google,GOOG,0,hold,0
2009-01-15,7.446836948394775,7.590548674265544,-0.03536701202392578,238269759,Google,GOOG,0,hold,0
2009-01-16,7.46377420425415,7.468921343485515,0.13324975967407227,209759293,Google,GOOG,2,buy,1
2009-01-20,7.042354106903076,7.317655086517334,0.4082188606262207,202684876,Google,GOOG,2,buy,1
2009-01-21,7.5487060546875,7.351611455281575,-0.36687517166137695,197718329,Google,GOOG,2,buy,1
2009-01-22,7.633885860443115,7.408315340677897,-0.2107100486755371,331919470,Google,GOOG,0,hold,0
2009-01-23,8.087186813354492,7.756592909495036,-0.3843088150024414,430921167,Google,GOOG,0,hold,0
2009-01-26,8.06651496887207,7.929195880889893,0.024408340454101562,185119281,Google,GOOG,0,hold,0
2009-01-27,8.256053924560547,8.136585235595703,-0.12528038024902344,197830749,Google,GOOG,0,hold,0
2009-01-28,8.684199333190918,8.335589408874512,-0.2662525177001953,308809170,Google,GOOG,0,hold,0
2009-01-29,8.550949096679688,8.49706745147705,0.030385971069335938,292444059,Google,GOOG,0,hold,0
2009-01-30,8.431646347045898,8.555598258972168,0.15342426300048828,187580472,Google,GOOG,0,hold,0
2009-02-02,8.48245620727539,8.488350550333658,-0.15641403198242188,209056670,Google,GOOG,0,hold,0
2009-02-03,8.479467391967773,8.464523315429688,0.05280113220214844,263243015,Google,GOOG,0,hold,0
2009-02-04,8.54297924041748,8.501634279886881,-0.07297706604003906,273718132,Google,GOOG,0,hold,0
2009-02-05,8.809977531433105,8.61080805460612,-0.31905364990234375,291665150,Google,GOOG,0,hold,0
2009-02-06,9.247339248657228,8.866765340169271,-0.3691167831420916,282579221,Google,GOOG,1,sell,1
2009-02-09,9.433889389038086,9.163735389709473,-0.1865501403808576,199838246,Google,GOOG,1,sell,1
2009-02-10,8.929281234741211,9.203503290812174,0.4351186752319336,285213056,Google,GOOG,1,sell,1
2009-02-11,8.917574882507324,9.093581835428873,0.022665023803710938,210048373,Google,GOOG,0,hold,0
2009-02-12,9.042357444763184,8.96307118733724,-0.24632740020751953,222844155,Google,GOOG,0,hold,0
2009-02-13,8.908608436584473,8.956180254618326,0.11232852935791193,166489714,Google,GOOG,0,hold,0
2009-02-17,8.534510612487793,8.828492164611816,0.09589004516601562,228067661,Google,GOOG,0,hold,0
2009-02-18,8.794784545898438,8.745967864990234,-0.14620113372802734,241883252,Google,GOOG,0,hold,0
2009-02-19,8.534011840820312,8.621102333068848,0.3693656921386719,200295955,Google,GOOG,0,hold,0
2009-02-20,8.628907203674316,8.652567863464355,-0.20921611785888672,249616129,Google,GOOG,0,hold,0
2009-02-23,8.220686912536621,8.461201985677084,0.4219179153442383,209626799,Google,GOOG,0,hold,0
2009-02-24,8.604000091552734,8.48453140258789,-0.3594026565551758,244749957,Google,GOOG,0,hold,0
2009-02-25,8.509105682373047,8.444597562154135,0.012701988220214844,258529413,Google,GOOG,0,hold,0
2009-02-26,8.398021697998047,8.503709157307943,0.21868038177490234,225064447,Google,GOOG,0,hold,0
2009-02-27,8.418196678161621,8.441774686177572,-0.12552928924560547,217612620,Google,GOOG,0,hold,0
2009-03-02,8.148457527160645,8.321558634440104,0.15367412567138672,232407869,Google,GOOG,0,hold,0
2009-03-03,8.106614112854004,8.224422772725424,0.11432170867919922,261970262,Google,GOOG,0,hold,0
2009-03-04,7.9432268142700195,8.066099484761557,0.10560417175292969,313908211,Google,GOOG,0,hold,0
2009-03-05,7.612466812133789,7.8874359130859375,0.2699880599975586,262175027,Google,GOOG,0,hold,0
2009-03-06,7.685442924499512,7.747045516967773,-0.033623695373535156,290452622,Google,GOOG,2,buy,1
2009-03-09,7.245093822479248,7.514334519704183,0.22640132904052734,259822241,Google,GOOG,2,buy,1
2009-03-10,7.675479888916016,7.535338878631592,-0.24707269668579102,270217058,Google,GOOG,2,buy,1
2009-03-11,7.918070793151855,7.612881501515706,-0.19452095031738192,237832124,Google,GOOG,0,hold,0
2009-03-12,8.058046340942383,7.883865674336751,-0.14919042587280273,201717262,Google,GOOG,0,hold,0
2009-03-13,8.080212593078613,8.018776575724283,0.04184436798095703,156841686,Google,GOOG,0,hold,0
2009-03-16,7.962405204772949,8.033554712931315,0.15691184997558594,198613673,Google,GOOG,0,hold,0
2009-03-17,8.352193832397461,8.131603876749674,-0.37758493423461914,189206544,Google,GOOG,0,hold,0
2009-03-18,8.296402931213379,8.203667322794596,0.04259014129638672,201239478,Google,GOOG,0,hold,0
2009-03-19,8.217698097229004,8.288764953613281,0.04333782196044922,165064391,Google,GOOG,0,hold,0
2009-03-20,8.223177909851074,8.245759646097818,0.0034856796264648438,190226352,Google,GOOG,0,hold,0
2009-03-23,8.682456016540527,8.374444007873535,-0.37459564208984375,171500425,Google,GOOG,0,hold,0
2009-03-24,8.64684009552002,8.517491340637207,-0.01668834686279297,153372732,Google,GOOG,0,hold,0
2009-03-25,8.569628715515137,8.632974942525228,0.15765953063964844,174102141,Google,GOOG,0,hold,0
2009-03-26,8.799267768859863,8.67191219329834,-0.0039844512939453125,241032074,Google,GOOG,0,hold,0
2009-03-27,8.660039901733398,8.676312128702799,0.057285308837890625,133410187,Google,GOOG,0,hold,0
2009-03-30,8.535258293151855,8.664855321248373,-0.0034875869750976562,124227898,Google,GOOG,0,hold,0
2009-03-31,8.66900634765625,8.621434847513834,0.021668434143066406,146760038,Google,GOOG,0,hold,0
2009-04-01,8.819192886352539,8.674485842386881,-0.2567873001098633,132542948,Google,GOOG,0,hold,0
2009-04-02,9.028657913208008,8.8389523824056,0.02017498016357422,180192885,Google,GOOG,0,hold,0
2009-04-03,9.209979057312012,9.01927661895752,-0.13150691986083984,152160204,Google,GOOG,0,hold,0
2009-04-06,9.171623229980469,9.13675340016683,-0.030885696411132812,131703815,Google,GOOG,0,hold,0
2009-04-07,8.932767868041992,9.104790051778158,0.09838104248046697,147755757,Google,GOOG,0,hold,0
2009-04-08,9.016204833984377,9.04019864400228,0.03736019134521307,111022586,Google,GOOG,0,hold,0
2009-04-09,9.277725219726562,9.075565973917643,-0.07472038269042969,135811153,Google,GOOG,0,hold,0
2009-04-13,9.417450904846191,9.237126986185709,-0.1688671112060547,122461301,Google,GOOG,0,hold,0
2009-04-14,9.188309669494627,9.294495264689127,0.2000007629394549,137658049,Google,GOOG,0,hold,0
2009-04-15,9.452071189880373,9.35261058807373,-0.3088426589965856,197967259,Google,GOOG,0,hold,0
2009-04-16,9.682209014892578,9.440863291422525,-0.18032360076904297,408931050,Google,GOOG,0,hold,0
2009-04-17,9.76938247680664,9.634554227193197,-0.15491962432861328,430840867,Google,GOOG,0,hold,0
2009-04-20,9.44709014892578,9.632893880208334,0.17060947418213068,177820024,Google,GOOG,0,hold,0
2009-04-21,9.501136779785156,9.57253646850586,-0.1320047378540039,148370051,Google,GOOG,0,hold,0
2009-04-22,9.560664176940918,9.502963701883951,-0.05255317687988281,140597024,Google,GOOG,0,hold,0
2009-04-23,9.581336975097656,9.547712643941244,0.0702371597290039,104751167,Google,GOOG,0,hold,0
2009-04-24,9.700888633728027,9.614296595255533,-0.08567905426025568,135923572,Google,GOOG,0,hold,0
2009-04-27,9.61271858215332,9.631648063659668,-0.04009914398193182,91967429,Google,GOOG,0,hold,0
2009-04-28,9.556927680969238,9.62351163228353,0.0009975433349609375,118185333,Google,GOOG,0,hold,0
2009-04-29,9.750204086303713,9.639950116475424,-0.13698673248291193,144941247,Google,GOOG,0,hold,0
2009-04-30,9.86228370666504,9.723138491312664,-0.005230903625490058,174881049,Google,GOOG,0,hold,0
2009-05-01,9.805497169494627,9.805994987487793,0.033373832702638495,97471985,Google,GOOG,0,hold,0
2009-05-04,10.01197338104248,9.893251419067383,-0.0948953628540039,128600225,Google,GOOG,0,hold,0
2009-05-05,10.037128448486328,9.951532999674479,-0.07496929168701172,96391952,Google,GOOG,0,hold,0
2009-05-06,10.049083709716797,10.032728513081869,0.08269023895263672,105710750,Google,GOOG,0,hold,0
2009-05-07,9.87822437286377,9.988145510355631,0.186551094055174,120441759,Google,GOOG,0,hold,0
2009-05-08,10.145222663879396,10.024176915486654,-0.11158180236816584,155183494,Google,GOOG,1,sell,1
2009-05-11,10.161413192749023,10.061620076497396,-0.12901687622070312,102755715,Google,GOOG,1,sell,1
2009-05-12,9.937999725341797,10.081545193990072,0.27397346496581854,152200354,Google,GOOG,1,sell,1
2009-05-13,9.702134132385254,9.933849016825357,0.11332511901855469,114138220,Google,GOOG,2,buy,1
2009-05-14,9.651324272155762,9.763819376627604,0.032379150390626776,117920344,Google,GOOG,2,buy,1
2009-05-15,9.713590621948242,9.689016342163086,0.027397155761716974,120799094,Google,GOOG,2,buy,1
2009-05-18,9.883953094482422,9.749622662862143,-0.052553176879881036,134570520,Google,GOOG,0,hold,0
2009-05-19,9.934762001037598,9.844101905822754,-0.06923961639404119,113925426,Google,GOOG,0,hold,0
2009-05-20,9.892420768737791,9.903711954752604,0.12229156494140803,91702440,Google,GOOG,0,hold,0
2009-05-21,9.875484466552734,9.900889078776041,-0.004981040954589844,109199779,Google,GOOG,0,hold,0
2009-05-22,9.800764083862305,9.856223106384277,0.078704833984375,69001669,Google,GOOG,0,hold,0
2009-05-26,10.071249961853027,9.91583283742269,-0.30909061431884766,124645457,Google,GOOG,0,hold,0
2009-05-27,10.1011381149292,9.991050720214844,0.0019931793212890625,121826932,Google,GOOG,0,hold,0
2009-05-28,10.221687316894531,10.13135846455892,-0.042840003967285156,107152133,Google,GOOG,0,hold,0
2009-05-29,10.391798973083496,10.238208134969076,-0.12752151489257812,106325044,Google,GOOG,0,hold,0
2009-06-01,10.624177932739258,10.412554740905762,-0.1950187683105451,133394127,Google,GOOG,0,hold,0
2009-06-02,10.670005798339844,10.561994234720865,-0.05354881286621094,105337356,Google,GOOG,0,hold,0
2009-06-03,10.75095272064209,10.68171215057373,-0.14072227478027344,141841672,Google,GOOG,0,hold,0
2009-06-04,10.965896606445312,10.795618375142416,-0.12403488159179688,146069460,Google,GOOG,1,sell,1
2009-06-05,11.066519737243652,10.927789688110352,0.018680572509765625,147783862,Google,GOOG,1,sell,1
2009-06-08,10.928288459777832,10.9869016011556,0.01818180084228338,124412588,Google,GOOG,1,sell,1
2009-06-09,10.849831581115724,10.948213259379068,0.07372474670409979,130684007,Google,GOOG,0,hold,0
2009-06-10,10.774614334106444,10.850911458333334,0.09041023254394709,134859599,Google,GOOG,0,hold,0
2009-06-11,10.68494987487793,10.769798596700033,0.06899166107177912,115037579,Google,GOOG,0,hold,0
2009-06-12,10.581338882446287,10.680301030476889,0.050311088562013495,117173555,Google,GOOG,0,hold,0
2009-06-15,10.380341529846191,10.548876762390135,0.11780834197998047,150036273,Google,GOOG,0,hold,0
2009-06-16,10.361164093017578,10.440948168436686,0.08244132995605469,122445241,Google,GOOG,0,hold,0
2009-06-17,10.340242385864258,10.36058266957601,0.025653839111328125,140127270,Google,GOOG,0,hold,0
2009-06-18,10.31284523010254,10.338083902994791,0.04034900665283203,123870563,Google,GOOG,0,hold,0
